horsepower,origin,mpg,cylinders,displacement,weight,acceleration,model year,car name
65,1.0,34.4,4.0,98.0,2045.0,16.2,81.0,ford escort 4w
65,1.0,29.9,4.0,98.0,2380.0,20.7,81.0,ford escort 2h
74,2.0,33.0,4.0,105.0,2190.0,14.2,81.0,volkswagen jetta
150,2.0,34.5,4.0,100.0,2320.0,15.8,81.0,renault 18i
75,3.0,33.7,4.0,107.0,2210.0,14.4,81.0,honda prelude
75,3.0,32.4,4.0,108.0,2350.0,16.8,81.0,toyota corolla
100,3.0,32.9,4.0,119.0,2615.0,14.8,81.0,datsun 200sx
74,3.0,31.6,4.0,120.0,2635.0,18.3,81.0,mazda 626
80,2.0,28.1,4.0,141.0,3230.0,20.4,81.0,peugeot 505s turbo diesel
76,2.0,30.7,6.0,145.0,3160.0,19.6,81.0,volvo diesel
116,3.0,25.4,6.0,168.0,2900.0,12.6,81.0,toyota cressida
120,3.0,24.2,6.0,146.0,2930.0,13.8,81.0,datsun 810 maxima
110,1.0,22.4,6.0,231.0,3415.0,15.8,81.0,buick century
105,1.0,26.6,8.0,350.0,3725.0,19.0,81.0,oldsmobile cutlass ls
88,1.0,20.2,6.0,200.0,3060.0,17.1,81.0,ford granada gl
85,1.0,17.6,6.0,225.0,3465.0,16.6,81.0,chrysler lebaron salon
88,1.0,28.0,4.0,112.0,2605.0,19.6,82.0,chevrolet cavalier
88,1.0,27.0,4.0,112.0,2640.0,18.6,82.0,chevrolet cavalier wagon
88,1.0,34.0,4.0,112.0,2395.0,18.0,82.0,chevrolet cavalier 2-door
85,1.0,31.0,4.0,112.0,2575.0,16.2,82.0,pontiac j2000 se hatchback
84,1.0,29.0,4.0,135.0,2525.0,16.0,82.0,dodge aries se
90,1.0,27.0,4.0,151.0,2735.0,18.0,82.0,pontiac phoenix
92,1.0,24.0,4.0,140.0,2865.0,16.4,82.0,ford fairmont futura
150,1.0,23.0,4.0,151.0,3035.0,20.5,82.0,amc concord dl
74,2.0,36.0,4.0,105.0,1980.0,15.3,82.0,volkswagen rabbit l
68,3.0,37.0,4.0,91.0,2025.0,18.2,82.0,mazda glc custom l
68,3.0,31.0,4.0,91.0,1970.0,17.6,82.0,mazda glc custom
63,1.0,38.0,4.0,105.0,2125.0,14.7,82.0,plymouth horizon miser
70,1.0,36.0,4.0,98.0,2125.0,17.3,82.0,mercury lynx l
88,3.0,36.0,4.0,120.0,2160.0,14.5,82.0,nissan stanza xe
75,3.0,36.0,4.0,107.0,2205.0,14.5,82.0,honda accord
70,3.0,34.0,4.0,108.0,2245.0,16.9,82.0,toyota corolla
67,3.0,38.0,4.0,91.0,1965.0,15.0,82.0,honda civic
67,3.0,32.0,4.0,91.0,1965.0,15.7,82.0,honda civic (auto)
67,3.0,38.0,4.0,91.0,1995.0,16.2,82.0,datsun 310 gx
110,1.0,25.0,6.0,181.0,2945.0,16.4,82.0,buick century limited
85,1.0,38.0,6.0,262.0,3015.0,17.0,82.0,oldsmobile cutlass ciera (diesel)
92,1.0,26.0,4.0,156.0,2585.0,14.5,82.0,chrysler lebaron medallion
112,1.0,22.0,6.0,232.0,2835.0,14.7,82.0,ford granada l
96,3.0,32.0,4.0,144.0,2665.0,13.9,82.0,toyota celica gt
84,1.0,36.0,4.0,135.0,2370.0,13.0,82.0,dodge charger 2.2
90,1.0,27.0,4.0,151.0,2950.0,17.3,82.0,chevrolet camaro
86,1.0,27.0,4.0,140.0,2790.0,15.6,82.0,ford mustang gl
52,2.0,44.0,4.0,97.0,2130.0,24.6,82.0,vw pickup
84,1.0,32.0,4.0,135.0,2295.0,11.6,82.0,dodge rampage
79,1.0,28.0,4.0,120.0,2625.0,18.6,82.0,ford ranger
82,1.0,31.0,4.0,119.0,2720.0,19.4,82.0,chevy s-10
